,STATE NAME,CRIME (2014),CRIME (2015),CRIME (2016),CRIME PER SHARE (STATE),CRIME RATE
0,ANDHRA PRADESH,114604,110693,106774,3.6,206.4
1,ARUNACHAL PRADESH,2843,2968,2534,0.1,192.3
2,ASSAM,94337,103616,102250,3.4,313.9
3,BIHAR,177595,176973,164163,5.5,157.4
4,CHHATTISGARH,58200,56692,55029,1.8,211.7
5,GOA,4466,3074,2692,0.1,135.6
6,GUJARAT,131385,126935,147122,4.9,233.2
7,HARYANA,79947,84466,88527,3,320.6
8,HIMACHAL PRADESH,14160,14007,13386,0.4,188.1
9,JAMMU & KASHMIR,23848,23583,24501,0.8,196.6
10,JHARKHAND,45335,45050,40710,1.4,120.4
11,KARNATAKA,137338,138847,148402,5,237.2
12,KERALA,206789,257074,260097,8.7,727.6
13,MADHYA PRADESH,272423,268614,264418,8.9,337.9
14,MAHARASHTRA,249834,275414,261714,8.8,217.1
15,MANIPUR,3641,3847,3170,0.1,121.9
16,MEGHALAYA,3679,4079,3366,0.1,120.9
17,MIZORAM,2140,2228,2425,0.1,227.3
18,NAGALAND,1157,1302,1376,0,57.6
19,ODISHA,74569,83360,81460,2.7,191.3
20,PUNJAB,37162,37983,40007,1.3,137
21,RAJASTHAN,210418,198080,180398,6.1,246.2
22,SIKKIM,1065,766,809,0,124.7
23,TAMIL NADU,193200,187558,179896,6,258.8
24,TELANGANA,106830,106282,108991,3.7,295.7
25,TRIPURA,5499,4692,3933,0.1,102.4
26,UTTAR PRADESH,240475,241920,282171,9.5,128.7
27,UTTARAKHAND,9156,10248,10867,0.4,101.8
28,WEST BENGAL,185672,179501,176569,5.9,188.2
30,ANDAMAN & NICOBAR ISLANDS,746,862,802,0,144.8
31,CHANDIGARH,3221,3248,2996,0.1,166.4
32,DADRA & NAGAR HAVELI,277,269,244,0,57.4
33,DAMAN & DIU,233,302,271,0,81.1
34,NCT OF DELHI,155654,191377,209519,7,974.9
35,LAKSHADWEEP,81,50,36,0,43.9
36,PUDUCHERRY,3584,3440,4086,0.1,242.8
