,STATE NAME,CHILDREN MISSING (FEMALE),CHILDREN MISSING (MALE),CHILDREN MISSING (TOTAL),CHILDREN RECOVERED/TRACED (FEMALE),CHILDREN RECOVERED/TRACED (MALE),CHILDREN RECOVERED/TRACED (TOTAL),CHILDREN RECOVERY PER (FEMALE),CHILDREN RECOVERY PER (MALE),CHILDREN RECOVERY PER (TOTAL)
0,ANDHRA PRADESH,1365,790,3324,1214,698,1912,60.2,53.3,57.5
1,ARUNACHAL PRADESH,29,9,61,24,9,33,51.1,64.3,54.1
2,ASSAM,857,524,2413,708,361,1069,48,38.4,44.3
3,BIHAR,3730,1087,5896,2324,702,3026,53.7,44.7,51.3
4,CHHATTISGARH,1643,619,3127,1483,568,2051,68.3,59.5,65.6
5,GOA,17,9,57,15,10,25,51.7,35.7,43.9
6,GUJARAT,944,371,2007,839,408,1247,62.5,61.4,62.1
7,HARYANA,973,795,3575,877,818,1695,49.1,45.7,47.4
8,HIMACHAL PRADESH,93,77,280,104,70,174,65.8,57.4,62.1
9,JAMMU & KASHMIR,138,166,1070,190,164,354,39.5,27.8,33.1
10,JHARKHAND,260,219,1008,189,140,329,36.7,28.4,32.6
11,KARNATAKA,889,1054,4224,1328,1405,2733,68.1,61.8,64.7
12,KERALA,768,756,1735,773,747,1520,88.7,86.5,87.6
13,MADHYA PRADESH,6037,2466,12068,5692,2505,8197,66,72.7,67.9
14,MAHARASHTRA,2532,1856,9982,2658,1699,4357,45.6,40.9,43.6
15,MANIPUR,49,97,186,69,103,172,93.2,92,92.5
16,MEGHALAYA,68,56,184,86,69,155,86,82.1,84.2
17,MIZORAM,0,0,0,0,0,0,,,
18,NAGALAND,47,24,77,39,24,63,79.6,85.7,81.8
19,ODISHA,1363,538,5791,379,210,589,9,13.3,10.2
20,PUNJAB,414,183,1290,346,164,510,49.5,27.7,39.5
21,RAJASTHAN,1338,642,4203,2093,1123,3216,80.6,69.9,76.5
22,SIKKIM,77,32,150,76,34,110,81.7,59.6,73.3
23,TAMIL NADU,3162,1470,5801,3202,1458,4660,84.9,71.8,80.3
24,TELANGANA,2277,1402,4700,2340,1257,3597,80.1,70.7,76.5
25,TRIPURA,132,37,197,125,46,171,86.8,86.8,86.8
26,UTTAR PRADESH,1465,1438,5169,846,1015,1861,33.5,38.4,36
27,UTTARAKHAND,224,211,859,312,277,589,72.2,64.9,68.6
28,WEST BENGAL,5986,2349,16881,3848,1540,5388,31.3,33.5,31.9
30,ANDAMAN & NICOBAR ISLANDS,36,11,53,37,11,48,92.5,84.6,90.6
31,CHANDIGARH,127,74,435,91,61,152,39.4,29.9,34.9
32,DADRA & NAGAR HAVELI,0,2,8,0,2,2,0,100,25
33,DAMAN & DIU,10,19,39,8,19,27,44.4,90.5,69.2
34,NCT OF DELHI,3982,2939,14661,3235,2628,5863,37.9,42.9,40
35,LAKSHADWEEP,0,0,0,0,0,0,,,
36,PUDUCHERRY,35,18,58,30,19,49,81.1,90.5,84.5
