,STATE NAME,PERSONAL VENDETTA OR ENMITY,PROPERTY DISPUTE,GAIN,ILLICIT RELATIONSHIP,LOVE AFFAIRS,DOWRY,WATER OR MONEY DISPUTE,ROAD RAGE,EXTREMISM / NAXALISM,CASTEISM,ROBBERY/ EXTORTION,RAPE,CLASS CONFLICT,WITCH CRAFT,POLITICAL REASONS,LUNACY,HONOUR KILLING,COMMUNALISM,CHILD/ HUMAN SACRIFICE,OTHER CAUSES*,TOTAL MOTIVES
0,ANDHRA PRADESH,85,96,47,138,9,49,21,0,3,1,0,5,0,8,0,0,2,0,0,659,1123
1,ARUNACHAL PRADESH,2,0,1,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,34,46
2,ASSAM,281,342,188,36,27,13,8,0,1,0,6,6,27,1,0,1,0,0,1,211,1149
3,BIHAR,524,946,590,195,187,44,2,0,0,3,2,5,9,0,26,1,3,0,0,44,2581
4,CHHATTISGARH,60,75,17,72,52,14,9,2,73,0,1,6,2,17,4,4,1,0,2,546,957
5,GOA,11,2,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,30
6,GUJARAT,245,81,48,55,133,6,45,3,1,1,20,4,3,14,3,7,10,0,0,441,1120
7,HARYANA,253,108,51,40,19,20,19,0,0,4,14,8,1,2,0,0,2,0,0,516,1057
8,HIMACHAL PRADESH,13,4,2,8,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,64,101
9,JAMMU & KASHMIR,8,11,0,3,1,0,1,0,34,0,0,1,0,0,0,0,0,0,1,82,142
10,JHARKHAND,429,293,509,35,46,37,7,0,43,4,6,4,7,27,2,5,0,6,0,54,1514
11,KARNATAKA,266,119,65,70,56,40,19,1,0,5,0,14,1,0,10,0,0,3,3,901,1573
12,KERALA,130,14,15,15,2,0,1,1,0,0,0,2,0,0,15,0,0,1,0,109,305
13,MADHYA PRADESH,411,248,70,168,104,40,22,1,0,4,10,18,4,19,8,10,18,1,2,846,2004
14,MAHARASHTRA,199,117,73,184,81,75,39,13,74,4,34,19,1,2,6,4,8,5,0,1361,2299
15,MANIPUR,14,1,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,55,78
16,MEGHALAYA,27,0,20,1,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,53,108
17,MIZORAM,1,0,0,2,2,0,0,0,0,0,21,1,0,0,0,0,0,0,0,2,29
18,NAGALAND,10,6,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,36
19,ODISHA,142,66,38,0,58,310,0,0,16,0,0,2,0,24,3,7,0,0,2,660,1328
20,PUNJAB,78,64,12,86,7,7,12,0,2,0,1,6,0,0,0,0,8,0,0,488,771
21,RAJASTHAN,11,22,34,8,38,49,0,0,0,0,1,1,16,1,0,1,0,3,0,1366,1551
22,SIKKIM,3,1,7,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,17
23,TAMIL NADU,484,110,92,123,180,8,74,0,0,14,0,4,1,0,3,0,1,0,0,509,1603
24,TELANGANA,167,33,77,104,13,90,24,0,0,0,1,4,0,11,3,6,0,0,0,513,1046
25,TRIPURA,7,3,4,5,4,28,0,0,0,0,0,1,0,0,0,0,0,0,0,93,145
26,UTTAR PRADESH,1010,536,172,284,398,145,534,489,0,271,123,54,60,3,29,27,16,1,0,737,4889
27,UTTARAKHAND,2,28,53,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,194
28,WEST BENGAL,244,60,59,5,14,375,0,0,79,0,2,11,0,3,1,0,0,0,0,1191,2044
30,ANDAMAN & NICOBAR ISLANDS,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,14
31,CHANDIGARH,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,19,26
32,DADRA & NAGAR HAVELI,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
33,DAMAN & DIU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
34,NCT OF DELHI,50,37,8,19,16,4,4,1,0,0,6,3,2,0,0,0,2,0,1,375,528
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PUDUCHERRY,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33
